Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a204_gac-miR-184-3p	438	1180	2626	6928	207	919	574	8100	7208	2441	2532	256	363	3256	1462	698	2944	17537	291
a159_gac-miR-183-5p	233	156	381	1103	30	136	350	6111	322	132	395	67	91	460	91	276	599	382	244
a243_gac-miR-182b-5p	80	6	28	37	0	18	0	0	0	1	22	0	0	9	0	14	12	10	6
a241_gac-miR-182a-5p_gac-miR-182b-5p	0	16	10	35	0	13	12	170	1	1	13	4	0	6	7	18	2	0	4
a242_gac-miR-182a-5p	44	30	72	333	33	34	117	2108	425	61	78	20	8	97	36	42	206	233	73
a87_gac-miR-181b-3-3p	6	0	5	23	0	26	0	0	0	0	7	0	0	0	0	0	0	0	3
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	1607	1179	1319	3446	640	1265	279	11338	3349	676	1023	1809	1903	1725	839	2368	3292	1801	1860
a7_gac-miR-181b-1-5p	800	682	774	1019	239	742	193	1358	1289	343	582	540	535	585	365	650	910	984	467
a6_gac-miR-181a-5p	13793	15493	14951	24575	9047	14105	4865	57172	18814	5485	16089	12194	13413	13529	7193	17695	26996	14290	13597
a23_gac-miR-181a-3-3p	527	247	474	587	108	380	106	510	660	162	368	310	394	472	293	598	966	738	358
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	142	28	48	69	26	61	10	99	181	32	40	105	75	61	44	188	189	155	61
a22_gac-miR-181a-2-3p	1545	452	601	2862	835	854	216	5562	2674	826	702	1223	993	847	663	3106	2600	1592	1703
a24_gac-miR-181a-1-3p	127	183	167	320	33	220	60	1314	339	71	229	71	117	109	54	234	345	213	102
a2_gac-miR-17a-5p	297	157	110	265	40	355	64	170	0	68	105	36	78	58	79	164	181	170	66
a31_gac-miR-17a-1-3p	19	3	20	0	0	0	0	0	191	0	4	12	13	6	0	3	12	0	0
a115_gac-miR-1788-5p	0	0	3	0	0	0	0	26	0	0	0	0	0	0	0	0	0	31	0
a150_gac-miR-16c-5p	329043	252911	344638	298756	74262	270599	76157	179884	458349	63681	244875	158362	210284	128152	82089	190396	279133	377826	125561
a149_gac-miR-16a-5p_gac-miR-16c-5p	18140	11689	16406	14786	5845	16368	2997	14983	16488	3484	11388	8931	7133	6971	4557	8629	14792	13817	5425
a151_gac-miR-16a-5p	9883	11120	15422	15286	5295	10353	3911	8657	18213	3484	9059	4663	5068	5039	3134	6403	7045	11721	4324
a152_gac-miR-15c-5p	101428	74835	145003	171269	34562	68038	34409	90140	158910	37086	105889	74467	101621	48799	46996	94455	111205	179681	57189
a147_gac-miR-15b-1-5p	355	329	447	689	193	317	215	356	155	199	696	296	169	218	88	240	685	279	106
a148_gac-miR-15a-2-5p	70544	58372	65710	60814	8952	41298	12221	25319	36787	13991	56312	29705	39143	30538	20874	37537	62530	57125	24202
a225_gac-miR-155-5p	542	401	562	1331	132	1399	496	1938	1625	230	704	165	328	286	321	1075	665	414	423
a16_gac-miR-152a-5p	956	429	614	1448	274	689	202	931	1246	241	549	413	415	440	399	710	1173	966	376
a169_gac-miR-152a-3p	1961	832	1209	3221	197	994	154	664	575	838	792	656	529	633	581	583	1057	986	507
a29_gac-miR-150-5p	9354	924	2164	15122	1005	2432	882	289263	13481	996	4491	7931	3117	2848	2747	4688	4248	7173	5554
a78_gac-miR-150-3p	2	0	1	4	0	0	0	624	68	3	11	22	9	7	3	5	8	0	14
a170_gac-miR-148a-3p	818	569	711	3544	335	407	231	1409	3438	671	474	868	454	590	330	845	784	962	584
a183_gac-miR-146a-5p	37344	27416	27329	66170	14462	40222	12521	105725	92886	33805	17306	15515	13237	15192	9754	40792	24951	22793	39473
a53_gac-miR-146a-3p	1469	447	337	1065	237	283	217	2794	1672	551	414	390	566	327	156	725	575	721	473
a121_gac-miR-145-5p	14238	2290	2749	9301	2932	3314	912	9999	7055	1371	2672	6666	2246	1821	1890	5626	5075	3107	2019
a113_gac-miR-145-3p	4783	2209	2534	6724	1755	2318	281	5467	6095	916	1415	4019	1499	1517	1627	3549	2730	3100	2679
a48_gac-miR-144-5p	10985	10750	17366	28440	9719	20973	5863	9507	29623	9054	8745	3407	5218	3344	1776	5155	4330	21062	3323
a80_gac-miR-144-3p	1665	941	858	2314	822	1412	505	996	360	1261	667	208	175	210	111	137	222	344	141
a120_gac-miR-143-5p	138	50	33	50	0	33	5	35	0	26	46	38	16	1	0	41	90	111	31
a55_gac-miR-143-3p	69992	35884	42075	158194	45062	60269	14818	139549	127747	28918	23691	47936	17451	18360	21069	84307	68504	35801	43884
a66_gac-miR-142-5p	931	1039	827	2086	463	1614	456	1524	1182	536	741	136	128	160	378	454	311	308	262
a218_gac-miR-142-3p	510	329	416	1131	151	628	126	410	67	231	490	82	98	53	156	169	222	228	127
a65_gac-miR-140-5p	347	219	320	555	151	350	167	552	415	112	185	60	132	39	68	151	248	289	51
a139_gac-miR-140-3p	11026	8845	10971	13167	2893	17789	5224	5552	10188	3662	9831	4520	5366	6377	2922	7542	14542	10719	3222
a180_gac-miR-139-5p	2011	781	1072	1995	502	1172	206	2445	606	324	933	1025	1471	1137	1458	1052	1728	2005	807
a54_gac-miR-1388-3p	246	523	1495	2499	117	751	553	1964	1689	204	1074	289	647	179	400	1473	1015	423	635
a160_gac-miR-135c-5p	0	28	0	93	11	40	52	77	48	34	49	15	20	16	1	20	22	67	24
a162_gac-miR-135b-5p	18	1	4	26	9	31	1	0	0	7	5	15	0	6	0	2	14	0	0
a161_gac-miR-135a-1-5p	89	5	1	32	0	7	3	17	101	0	4	14	0	0	0	9	53	0	0
a246_gac-miR-133b-3p	73	6	4	31	34	0	17	19	0	0	4	7	19	238	0	436	512	57	30
a41_gac-miR-133a-5p	214	1	0	79	54	17	15	0	27	14	40	41	41	261	4	187	424	102	23
