		B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
nomCol	Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-133a-3p	miR-133a-3p	12257	2110	2215	9183	5613	250	549	94	6713	6410	65	7369	4669	117050	654	12130	209	153	331
miR-130c-3p	miR-130c-3p	0	0	0	0	4	70	35	0	1	3	4	21	19	27	15	28	0	0	44
miR-130c-2-5p	miR-130c-2-5p	11	9	0	62	2	74	170	60	2	15	9	119	31	40	13	97	90	29	0
miR-130b-5p	miR-130b-5p	3555	688	929	1155	244	5971	14540	4771	251	1530	699	2093	733	2104	199	1759	6051	7959	10913
miR-130b-3p	miR-130b-3p	0	5	0	0	0	0	59	0	2	0	0	77	11	11	11	17	0	0	0
miR-1306-5p	miR-1306-5p	197	55	75	0	0	0	0	0	74	79	0	0	0	0	0	0	0	0	0
miR-129-1b/2-3p	miR-129-1b/2-3p	5	1	0	83	14	0	32	0	0	5	0	72	3	82	19	65	0	57	61
miR-129-1a/2-5p	miR-129-1a/2-5p	0	17	13	61	7	239	1037	0	2	17	9	11	0	2	0	51	0	225	400
miR-128-2-3p	miR-128-2-3p	12709	5006	11055	9354	4994	10903	20019	13154	3279	15563	3056	7936	6862	27995	3886	23486	18349	17061	26033
miR-126b-5p	miR-126b-5p	996	214	137	883	350	175	477	139	162	1196	433	2430	952	1876	156	4433	625	147	125
miR-126b-3p	miR-126b-3p	15499	3504	4867	16496	6036	6171	18967	4173	2149	35719	6821	32319	16075	25893	2405	75540	20894	8151	8310
miR-125b-2/3-5p	miR-125b-2/3-5p	42255	11648	19723	34865	7373	21661	54177	22964	8140	20592	5333	18073	21300	132762	1484	24487	26779	14617	18869
miR-125b-2-3p	miR-125b-2-3p	146	65	161	428	89	0	168	194	16	327	54	254	177	583	37	745	146	7	116
miR-125a-5p	miR-125a-5p	34077	8934	21452	41633	6640	10503	19676	7699	4588	28703	7379	14716	14528	77535	7306	33497	18075	7171	16079
miR-125a-1-3p_gac-miR-125a-2-3p	miR-125a-1-3p_gac-miR-125a-2-3p	11	0	0	0	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0
miR-122-5p	miR-122-5p	166147	2589	8669	313	20	63	788	958	1782	8977	5351	97	625	1362	110	45719	1110	428	1363
miR-122-3p	miR-122-3p	1049	16	0	0	0	0	0	0	7	34	13	0	0	28	0	102	0	0	0
miR-10c-5p	miR-10c-5p	2608	493	1358	449	104	1841	1771	1619	239	4118	1557	236	153	783	56	527	2991	2314	2293
miR-10b-5p	miR-10b-5p	7678	2313	5791	10829	4912	16684	18459	19342	1804	13717	4290	14079	9899	24302	682	19662	43020	18194	10481
miR-10545-5p	miR-10545-5p	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	43
miR-103-3p	miR-103-3p	1230	357	334	398	417	864	518	417	328	1092	198	773	858	1653	539	1902	884	1034	1495
miR-101b-5p	miR-101b-5p	595	168	102	717	228	0	253	212	156	257	23	275	275	1707	394	1117	324	145	222
miR-101b-3p	miR-101b-3p	14	4	8	104	7	0	0	0	14	20	7	28	31	22	70	239	0	0	0
miR-101a-3p	miR-101a-3p	2531	1081	3015	1963	1650	1119	1230	967	2042	5311	1743	1453	1539	4474	2715	11937	1059	2084	1800
miR-100-2-5p	miR-100-2-5p	63535	10946	51662	26288	10045	40494	83458	46174	7281	47042	10875	23121	24820	90545	1349	45811	57581	24756	44455
miR-1-3p	miR-1-3p	11169	2024	43972	11215	9734	1665	61876	13010	5009	36032	1201	16526	12326	63140	484	35441	3522	729	1388
let-7j-5p	let-7j-5p	1596	630	1043	2099	1441	1651	10058	4127	587	3250	692	2111	2746	5666	898	9778	2782	3155	5500
let-7j-3p	let-7j-3p	9	5	0	4	6	0	98	19	13	28	1	7	32	58	4	38	95	55	0
let-7i-5p	let-7i-5p	2152	277	898	1947	726	0	1336	627	143	1582	373	1705	1783	5777	348	5237	621	675	1375
let-7h-1-5p	let-7h-1-5p	4334	1544	6023	9971	5282	19438	43637	14955	891	7502	2960	10347	10171	26614	4411	35376	27221	28241	49384
