Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a108_gac-miR-2188-3p	18835	67080	31559	55669	108095	57840	46899	56367	51935	166527	136354	54636	112940	102918	44002	48608	14432	128867	87356	34464	28739	52738	77947	69149	82995	27286	69399	40781	147401	59560	76469	78741	79053	28203	66658	178443	154404	27285
a137_gac-miR-2187a-5p	1	1	0	1	0	2	27	0	0	3	0	0	0	12	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
a5_gac-miR-2184-5p	158	227	112	112	242	141	410	204	117	76	297	98	90	507	260	165	47	223	189	122	0	300	212	546	308	0	145	418	618	68	50	82	147	89	159	294	115	76
a142_gac-miR-217a-5p	158	154	441	126	25	87	52	78	50	35	81	10	0	107	11	16	7	37	0	8	165	10	20	20	54	0	16	52	75	11	36	25	88	33	59	39	40	36
a135_gac-miR-216b-5p	34	36	82	17	0	14	0	0	0	0	24	0	1	3	31	0	4	9	0	0	0	0	0	26	0	0	0	58	24	7	7	15	2	0	3	5	0	7
a58_gac-miR-214a-3p	5841	17914	3447	5621	6276	16968	4033	3310	3767	5642	14652	1105	1308	7209	5005	3524	1790	8386	9919	1600	4465	4069	3017	18582	2618	3008	4392	24688	30618	2938	8852	7702	7734	7109	5627	14956	7049	3926
a27_gac-miR-212b-5p	10	5	15	19	0	13	0	0	0	0	4	0	1	4	0	0	74	21	0	0	0	0	0	0	0	0	10	0	0	0	0	0	16	0	0	20	0	2
a26_gac-miR-212a-5p	12	54	27	67	21	75	37	0	8	41	29	17	25	131	71	95	4	23	84	11	0	69	67	10	0	2	80	24	176	39	73	44	107	17	104	146	0	56
a38_gac-miR-210-5p	4045	3513	4853	4026	3499	4012	1424	1723	1595	2803	3365	2201	2654	3732	2368	1938	577	5782	5183	1015	513	4252	3009	3862	1176	1712	2396	4702	5000	2037	2374	2227	2124	1191	3605	4388	3210	2266
a94_gac-miR-210-3p	523	307	798	389	1467	249	266	216	135	482	477	753	573	1081	15	733	326	273	394	223	148	1513	534	1553	144	80	381	1074	530	683	250	379	203	143	540	563	387	212
a52_gac-miR-21-5p	195784	212114	296374	263999	451595	300090	212405	227740	166499	231336	202333	181408	212867	284965	85032	277075	54787	404544	346689	99862	107227	391938	277116	317490	160536	105271	198541	370960	501207	157103	117849	133790	157583	148233	227448	329855	366226	131629
a56_gac-miR-20b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	12	0	0	0	0	0	37	0	3	0	0	0	0	1	0	0	2
