Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a5_gac-miR-2184-5p	145.637233326198	167.739910498376	77.5654721201606	90.354237461822	185.189633309349	93.5397346888875	445.997867680586	182.420920470418	189.924625352895	68.7138974309487	85.1792600098078	62.3950117241787	104.282688610227	191.458440784554	166.461624654003	143.393024614787	188.032264050394	84.6118336487704	118.027214999371
a142_gac-miR-217a-5p	145.637233326198	113.797119897577	305.414046473133	101.64851714455	19.1311604658419	57.7160065101646	56.5655832180256	69.7491754739835	81.1643698089294	31.6445580274106	13.778997942763	44.9244084414087	31.7935026250693	114.614576796195	61.7217259953043	53.2087324042293	24.9430554352564	29.430203008268	55.9076281575966
a135_gac-miR-216b-5p	31.3396578043718	26.601924131901	56.789006373689	13.7144824718837	0	9.28763323152074	0	0	0	0	8.76845323630374	8.73530164138502	19.0761015750416	2.60487674536808	0	2.70552876631675	3.19782761990466	0	10.8709276973104
a58_gac-miR-214a-3p	5383.96885986281	13237.4130249687	2387.21591426959	4534.65329261519	4802.68652334495	11256.6114766031	4387.09609842879	2959.86885665238	6114.92362140474	5101.10275401858	3680.24508689434	11046.4128756486	9794.94228873134	10073.0583743383	13296.3560636551	5074.67012268811	9565.34197665883	5186.33752513202	6097.03744852012
a27_gac-miR-212b-5p	9.21754641305052	3.69471168498625	10.3882328732358	15.3279509979877	0	8.62423085784069	0	0	0	0	0	0	0	20.8390139629446	0	0	12.7913104796187	0	3.1059793420887
a26_gac-miR-212a-5p	11.0610556956606	39.9028861978515	18.6988191718244	54.0511956244828	16.0701747913072	49.755178026004	40.2485880589797	0	12.9862991694287	37.0693394035381	48.852810887978	91.0967171173009	55.9565646201219	139.360905877192	31.7960406642477	93.7916638989805	93.3765665012162	0	86.9674215784836
a38_gac-miR-210-5p	3728.49752407893	2595.90442987134	3360.93960892089	3247.91214304728	2677.59721879923	2661.57032320437	1549.02674043209	1540.74140181633	2589.14339690485	2534.27703288091	2551.61989176439	2962.51515666401	2832.16521384117	2766.3791035809	2227.59320183053	3251.14373419062	2806.41351922833	2361.77379141351	3519.0745945865
a94_gac-miR-210-3p	482.077677402542	226.855297458156	552.653988856145	313.819628327221	1122.6164961356	165.187191046333	289.354714153746	193.151562851031	219.143798484109	435.790770548911	855.550508627922	311.975058620894	481.98949979605	264.39498965486	267.460812646319	486.995177937014	360.075390001265	284.737214104993	329.233810261402
a52_gac-miR-21-5p	180464.810693268	156740.014869835	205253.475304826	212977.03871146	345581.456422875	199080.418317647	231054.090450475	203649.707980064	270275.728176339	209157.870737973	196792.901254718	147063.794733655	170146.108648321	205242.146082669	277248.382104907	205122.36894707	210963.885912731	269452.638172649	204418.477409897
a126_gac-miR-20a-5p	164.072326152299	283.753857406944	348.352075682507	304.138817170597	1119.55551046107	171.821214783134	199.067340940359	123.402387377048	165.575314410216	360.747961512481	501.054470645928	245.836346193264	158.967513125346	119.824330286931	119.702741324227	253.417861111668	168.205732806985	158.18734116944	163.063915459657
a203_gac-miR-206-1-3p	7600.78877220146	53659.7756857293	6886.0132972389	81686.6845395915	7488.70145274915	79370.7867918289	34072.0614914423	50523.4412087188	15328.7028821144	9844.16993721275	3214.26442919363	41181.9556381924	18530.5250699954	119114.501373819	4743.22112497248	108341.997604232	59011.4317666727	22707.6088861044	31670.1183616074
a240_gac-miR-205-1a-3p	452.58152888078	79.0668300587058	333.116000801761	63.7320067811066	107.899745027348	882.98855936815	241.491528353878	358.582299552146	71.4246454318578	67.8097672015941	78.9160791267337	9.98320187586859	64.8587453551413	114.614576796195	54.2403046625402	36.0737168842233	94.6556975491781	211.897461659529	76.0964938811731
a178_gac-miR-205-1-5p	28789.1627118807	11999.6846104984	18047.8232451017	2946.19352866584	3497.94137957453	77647.2674250081	5645.68032502986	13041.3073732381	8413.49857439362	11073.787049135	25115.3553411271	3315.67092302286	5858.90666374777	10943.0872072913	6654.72427549372	10143.0273449215	19153.708312181	40559.9700309197	8313.1537091004
a101_gac-miR-204-2b-3p	86.6449362826749	70.1995220147388	41.5529314929432	50.0175243092229	53.5672493043573	69.6572492364055	183.838145458583	208.353306223566	175.315038787287	24.4115161925739	0	19.9664037517372	38.1522031500831	13.0243837268404	24.3146193314835	9.01842922105582	16.6287036235043	25.0156725570278	38.8247417761088
a233_gac-miR-204-1/2b-5p	54165.9897416501	18356.0665933487	10103.5952925091	19609.2897320045	18160.8280070144	47619.6857851279	35419.8452915794	33417.9030338235	66359.9887557807	25522.6922444507	4081.08866341109	1455.05167340785	4395.13380288958	6952.41603338739	5081.75544028006	10799.5689922143	8420.51968873296	7655.53155752571	15287.6303217606
a234_gac-miR-202-5p	61.7575609674385	76.1110607107168	45.0156757840218	24.2020278915594	0	0	8.70239741815778	104.623763210975	0	198.908650458009	21.2948150024519	0	2.54348021000554	62.5170418888338	7.48142133276416	19.8405442863228	19.8265312434089	0	66.7785558549071
a67_gac-miR-200b-5p	93.0972187718102	21.4293277729203	54.7113597990419	15.3279509979877	0	118.749024888729	0	32.1919271418385	6.49314958471435	51.5354230732115	25.0527235322964	0	0	28.6536441990488	1.87035533319104	10.822115065267	1.27913104796187	32.3732233090948	15.5298967104435
a133_gac-miR-200b-3p	54794.6264070201	8434.28783448662	31445.873456143	3867.4840570712	6679.07074183472	47218.9907514251	9841.32368025918	25193.7598692822	10442.6078196169	13655.0788539423	8365.10438743377	1572.3542954493	1280.64228573779	6935.4843345425	3791.21026037824	2023.73551720493	3054.56494253294	23413.9337583028	3753.57603491419
a128_gac-miR-200a-3p	9853.557115551	772.933684499124	5782.09041724305	366.2573554256	638.980759559119	3898.15234774399	2082.04858229425	2946.45555367661	1210.97239754923	839.032852841057	1446.79478399012	101.07991899317	106.826168820233	1178.70672727905	394.64497530331	248.908646501141	388.216273056426	1503.14761864729	555.970302233877
