Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a240_gac-miR-205-1a-3p	491	107	481	79	141	1331	222	401	44	75	63	8	51	88	29	40	148	288	49
a178_gac-miR-205-1-5p	31233	16239	26060	3652	4571	117044	5190	14584	5183	12248	20050	2657	4607	8402	3558	11247	29948	55127	5353
a101_gac-miR-204-2b-3p	94	95	60	62	70	105	169	233	108	27	0	16	30	10	13	10	26	34	25
a233_gac-miR-204-1/2b-5p	58764	24841	14589	24307	23732	71781	32561	37371	40880	28229	3258	1166	3456	5338	2717	11975	13166	10405	9844
a234_gac-miR-202-5p	67	103	65	30	0	0	8	117	0	220	17	0	2	48	4	22	31	0	43
a67_gac-miR-200b-5p	101	29	79	19	0	179	0	36	4	57	20	0	0	22	1	12	2	44	10
a133_gac-miR-200b-3p	59446	11414	45406	4794	8728	71177	9047	28174	6433	15103	6678	1260	1007	5325	2027	2244	4776	31823	2417
a128_gac-miR-200a-3p	10690	1046	8349	454	835	5876	1914	3295	746	928	1155	81	84	905	211	276	607	2043	358
a221_gac-miR-19c-3p	22	0	10	31	0	15	0	0	2	48	2	0	0	5	0	2	9	7	0
a220_gac-miR-19b-3p	382	741	507	504	1508	300	228	286	203	1357	636	425	423	40	68	414	397	817	114
a157_gac-miR-19b-2-5p	110	107	89	114	244	142	56	166	51	221	55	103	138	55	52	67	100	308	25
a106_gac-miR-19a-1-5p	0	0	0	0	0	0	0	0	1	11	3	0	0	0	0	0	0	0	0
a222_gac-miR-19a-1-3p	48	238	169	118	385	50	31	35	72	320	98	37	16	3	12	50	37	391	26
a72_gac-miR-199-5p	7883	14972	5827	6737	5608	13510	7290	3731	4028	4295	7452	9044	10038	8204	7879	10033	22478	4661	5287
a20_gac-miR-199-3p	34935	94236	33665	56175	31957	93704	56925	53787	30733	44603	14825	44853	29720	40640	31774	35960	87705	32608	29109
a153_gac-miR-196d-5p	163	113	72	170	108	290	384	206	143	173	8	79	44	120	35	88	305	28	79
a69_gac-miR-196d-3p	492	638	148	490	149	1033	296	497	296	334	59	189	135	323	136	234	793	228	136
a154_gac-miR-196a-5p	988	1099	621	838	730	3064	620	1266	629	719	100	701	443	1196	291	614	900	546	116
