Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-181a-5p	2954.94608163716	9871.32829288231	4003.20081241504	5435.82356145901	1926.33576733523	5048.11616077318	3428.7990564952	4641.55178322613	4090.33430776273	5503.57754688431	3266.37334215506	3399.04332285912	3365.01719880234
miR-181a-3-3p	111.952094817759	182.70487079316	162.27285633688	90.4538828205971	243.536749859998	94.1102510072922	164.400049706155	118.857859189638	134.408987505347	193.888155336261	130.518740218148	175.520399506614	228.1944861536
miR-181a-2-3p_gac-miR-181a-3-3p	26.5149698252587	49.4935384857551	46.5652544271048	25.7717766695556	0	0	50.4594211969386	4.5714561226784	21.5054380008556	0	7.94461896980034	4.84194205535488	68.9692290240358
miR-181a-2-3p	349.997601693415	1191.5306126943	848.052057899696	784.270537081379	660.743149210323	293.962357078958	1075.11121614767	263.620636407787	710.754725928276	206.339688247763	276.926718375898	633.08392373765	805.492477243677
miR-181a-1-3p	22.9796405152242	6.31832406201129	235.64840876747	63.6714482424315	0	50.7560904308991	63.4812073122775	25.9049180285109	65.5915859026095	0	0	31.4726233598067	23.8412149712716
miR-17a-5p	131.985627574621	143.215345405589	107.946726171925	90.4538828205971	81.844317575901	48.6412533296117	166.027772970572	28.9525554436298	24.7312537009839	0	32.9134214463157	45.9984495258713	3.4058878530388
miR-17a-1-3p	9.42754482675865	5.26527005167608	16.227285633688	48.0062506589761	0	14.8038597090122	0	6.09527483023786	29.032341301155	0	11.3494556711433	0	0
miR-16c-5p	48123.4917897412	43328.9603092528	66688.4996811939	102019.85192673	46711.1471042947	65521.8830720882	78003.7542774093	64111.6244831494	50238.8537137987	59786.9246697895	50007.9715781918	41524.4950667234	38815.2009171567
miR-16a-5p_gac-miR-16c-5p	11549.331634331	8277.00452123479	7152.70529366649	10443.1281696674	6667.31757813438	7104.79524177524	10196.8723899426	9369.96123278315	7413.99975079496	8123.73582954772	7176.26082086394	5200.24576745114	7150.66154745497
miR-15c-5p	49611.2762077141	29790.8979523832	27146.8377968441	54087.3792950826	43401.44274964	57119.6352686731	37252.074629456	66834.6885135581	43837.760092844	29214.8537912178	44437.6587347947	37552.8920958186	57661.681351947
miR-15c-3p	5.89221551672416	4.21221604134086	0	22.7398029437255	7.98481147081961	9.51676695579359	0	7.61909353779733	0	195.66694575219	3.404836701343	15.7363116799034	0
miR-15b-1-5p	73.652693959052	76.3464157493031	65.6146766927385	5.55861849735513	125.760780665409	206.196617375528	244.158489662606	155.429508171065	83.8712082033367	33.7970179026509	112.359611144319	38.735536442839	324.410818001946
miR-15a-2-5p	16775.1375761137	14807.5189663286	10150.5199309509	17971.0136019491	11715.7146305601	14525.7586301929	14851.3470645441	15631.332302145	10311.8575214102	13312.4674728126	10183.8665737169	7932.31157218513	13797.2516926602
miR-155-5p	121.96886119619	108.464563064527	343.595134939394	613.469350526284	127.756983533114	142.751504336904	262.063445571197	182.858244907136	539.786493821475	53.3637124778699	301.895520852413	426.090900871229	163.482616945863
miR-152a-5p	150.840717228138	633.9385142218	678.018325824965	117.236317398763	245.532952727703	536.111205176372	584.352651925837	149.334233340828	152.688609806075	579.885675592853	255.362752600725	289.306037807454	356.766752605815
miR-152a-3p	661.10658097645	1502.18154574318	513.628867014125	224.87138466573	427.187413688849	394.417119390112	644.57841270928	368.764127229391	437.635663317411	201.003316999977	383.611601684645	873.970540991555	252.035701124872
miR-150-5p	4916.46462715464	866.663450505882	37691.7513221094	6672.36351264338	9473.97881012747	46546.5071807864	2270.67395386224	7279.28196601156	90316.3879721931	8331.85430821142	30712.761991681	29687.1572268946	30233.2149994622
miR-150-3p	10.6059879301035	0	150.278775651111	0	0	91.9954139060047	0	24.3810993209514	143.01116270569	133.409281194675	30.643530312087	54.4718481227424	51.0883177955821
miR-148a-3p	7106.01191316933	2913.27391959237	1433.64540902844	457.828032600341	345.343096112948	738.078148349325	1112.54885122927	600.384570778429	530.10904672109	2001.13921792012	652.593701090742	938.126273225007	361.024112422113
miR-146a-5p	46464.8331217834	44349.3696452676	37904.1171036633	95594.594272742	105770.805148212	11470.8764373832	63735.1321415267	29382.2723191616	43705.5016491388	9833.15341925549	55803.0036438776	23123.9047708611	54745.3898777825
miR-146a-3p	1513.12094469476	1533.24663904807	1598.03486783928	3942.0711725334	4796.87549109488	982.341833548027	2100.57687273062	1144.38784937716	1450.54179315771	2426.27012732715	1906.70855275208	921.179476031265	2882.23259563409
miR-145-5p	945.700590434227	1407.40668481302	447.3086561634	816.106261202594	2183.84593726916	3744.31908782946	315.77831329697	1481.1517837478	3112.91215062384	1869.50872714137	1609.35281416813	1751.57253852463	881.273481973791
miR-145-3p	574.491012880605	954.066933363705	626.514332291955	346.150333698933	848.386218774584	1354.55316337462	616.907117214184	431.240694239329	1421.50945185655	1924.65123003517	864.828522141123	433.353813954261	727.157056623785
miR-144-5p	4931.19516594645	2945.3920669076	1388.49122291731	2002.11331695646	1992.21046196949	1632.65424219392	2312.99475873709	3084.20906410036	2408.60905609582	958.768034185729	1983.88485131586	2136.50693192534	3273.05822677029
miR-144-3p	561.528138743812	125.313427229891	201.077235026134	269.845661598876	237.548141256884	217.828221432609	223.811948857389	275.811186068263	181.72095110723	176.100251176971	9.07956453691468	216.676906977131	710.127617358591
miR-143-5p	12.9628741367931	24.7467692428776	48.6818569010641	0	0	0	0	0	25.8065256010267	97.8334728760948	13.619346805372	0	2.5544158897791
miR-143-3p	20223.2620965006	22198.3785378663	11834.6299660645	6089.21389937539	31420.2331376752	27364.9346721091	11013.1756070479	9380.62796373607	17503.2759888963	24154.1950578998	10280.3369469216	11204.2539160912	9636.10820821004
miR-142-5p	189.140118086845	89.5095908784933	189.083154340365	643.28375883028	241.540546992293	145.923759988835	336.124854102188	187.429701029814	154.83915360616	0	119.169284547005	156.152631285195	205.204743145588
miR-142-3p	173.23113619169	69.5015646821242	83.2530306423994	288.037503953857	13.9734200739343	65.5599501399114	112.312905244799	74.6671166704138	73.1184892029089	0	83.9859719664608	206.993022866421	170.29439265194
miR-140-5p	73.0634724073795	100.566657987013	0	83.884606414632	93.8215347821305	94.1102510072922	39.8792199782256	67.0480231326165	84.9464801033795	90.7183112123788	68.0967340268601	66.5767032611296	61.3059813546985
miR-140-3p	1538.45747141668	1382.65991557014	1024.4355973963	545.249941695108	1251.61919805097	983.399252098671	1258.23008339463	1110.86383781085	1420.43417995651	373.545987345089	567.472783557167	579.822561128747	2126.97696422273
miR-139-5p	521.461073230088	2757.94845306793	475.530022482858	145.534738839843	315.400053097375	639.738223139458	701.548726963888	563.812921797002	695.700919327678	1154.43497993792	775.167822339091	903.022193323685	408.706542364657
miR-1388-3p	179.712573260087	249.047273444278	733.755524305893	636.714482424315	109.79115772377	310.881053889257	169.283219499407	303.239922804334	390.323699715529	87.1607303805208	581.092130362539	349.83031349939	660.742243489528
miR-135c-5p	11.7844310334483	502.306762929898	236.353942925456	30.3197372583007	0	255.895289255783	0	19.809643198273	20.4301661008128	0	20.429020208058	8.47339859687103	0
