Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a266_REV_gac-let-7i-1-3p	0	0	8	0	0	5	0	0	0	0	0	15	11	52	0
a253_REV_gac-miR-103a-5p	0	0	7	13	35	0	0	0	0	25	0	18	1	0	0
a252_REV_gac-miR-10c-3p	0	4	0	0	0	0	0	0	4	0	0	0	0	82	0
a260_REV_gac-miR-132-3p	30	22	25	30	28	14	11	0	7	58	0	48	56	34	0
a250_REV_gac-miR-181b-2/3-5p	68	78	42	32	141	26	73	90	26	0	0	58	46	55	175
a268_REV_gac-miR-190a-5p	38	28	13	22	148	38	19	31	1	31	0	21	14	62	0
a261_REV_gac-miR-191-5p	38812	28481	71029	58787	44732	49574	24924	40303	35177	54417	18294	124861	105269	24937	33519
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	52	50	42	26	32	70	0	205	7	75	0	110	108	35	103
a255_REV_gac-miR-460-3p	25	9	31	0	27	0	24	0	5	0	0	0	0	0	0
a256_REV_gac-miR-730-3p	10	11	0	0	49	0	0	0	0	0	0	3	4	0	0
a254_REV_gac-miR-7bb-3p	0	0	0	6	66	0	0	0	0	3	0	0	0	0	0
